Year,Stadium,Partido,Finalista,Campeon
1993,Olympiastadion Munich,Olympique Marseille 1-0 AC Milan,AC Milan,Marseille
1994,OAKA Stadium,AC Milan 4-0 Barcelona,Barcelona,AC Milan
1995,Ernst Happel Stadion,Ajax 1-0 AC Milan,AC Milan,Ajax
1996,Stadio Olimpico,Juventus 1-1 Ajax,Ajax,Juventus
1997,Olympiastadion Munich,Borussia Dortmund 3-1 Juventus,Juventus,Borussia Dortmund
1998,Amsterdam ArenA,Real Madrid 1-0 Juventus,Juventus,Real Madrid
1999,Camp Nou,Manchester United 2-1 Bayern Munich,Bayern Munich,Manchester United
2000,Stade de France,Real Madrid 3-0 Valencia,Valencia,Real Madrid
2001,San Siro,Bayern Munich 1-1 Valencia,Valencia,Bayern Munich
2002,Hampden Park,Real Madrid 3-0 Valencia,Valencia,Real Madrid
2003,Old Trafford,AC Milan 0-0 Juventus,Juventus,AC Milan
2004,Arena AufSchalke,Porto 3-0 Monaco,Monaco,Porto
2005,Ataturk Olympic Stadium,Liverpool 3-3 AC Milan,AC Milan,Liverpool
2006,Stade de France,Barcelona 2-1 Arsenal,Arsenal,Barcelona
2007,OAKA Stadium,AC Milan 2-1 Liverpool,Liverpool,AC Milan
2008,Luzhniki Stadium,Manchester United 0-0 Chelsea,Chelsea,Manchester United
2009,Stadio Olimpico,Barcelona 2-0 Manchester United,Manchester United,Barcelona
2010,Estadio Santiago Bernabeu,Inter Milan 2-0 Bayern Munich,Bayern Munich,Inter Milan
2011,Wembley Stadium,Barcelona 3-1 Manchester United,Manchester United,Barcelona
2012,Allianz Arena,Chelsea 1-1 Bayern Munich,Bayern Munich,Chelsea
2013,Wembley Stadium,Bayern Munich 2-1 Borussia Dortmund,Borussia Dortmund,Bayern Munich
2014,Estadio da Luz,Real Madrid 4-1 Atletico Madrid,Atletico Madrid,Real Madrid
2015,Olympiastadion Berlin,Barcelona 3-1 Juventus,Juventus,Barcelona
2016,San Siro,Real Madrid 1-1 Atletico Madrid,Atletico Madrid,Real Madrid
2017,Millennium Stadium,Real Madrid 4-1 Juventus,Juventus,Real Madrid
2018,NSC Olimpiyskiy,Real Madrid 3-1 Liverpool,Liverpool,Real Madrid
2019,Wanda Metropolitano,Liverpool 2-0 Tottenham,Tottenham,Liverpool
