,Confederation,Stadium,City,HomeTeams,Capacity,Country,IOC,Population,UCLChampions,UELChampion,UCLFinalStadium ,UELFinalStadium,Capacidad/1000Habs,Latitude,Longitude
0,UEFA,Stadiumi Besëlidhja,Lezhë,Besëlidhja,7000,Albania,ALB,2876591,FALSE,FALSE,FALSE,FALSE,2.433436,41.7760165,19.6446705
1,UEFA,Stadiumi Flamurtari,Vlorë,Flamurtari Vlorë,8200,Albania,ALB,2876591,FALSE,FALSE,FALSE,FALSE,2.850596,40.4560746,19.4888234
2,UEFA,Stadiumi Laçi,Laçi,KF Laçi,5000,Albania,ALB,2876591,FALSE,FALSE,FALSE,FALSE,1.738169,41.6424224,19.7117332
3,UEFA,Stadiumi Niko Dovana,Durrës,Teuta,12040,Albania,ALB,2876591,FALSE,FALSE,FALSE,FALSE,4.18551,41.3260658,19.4497646
4,UEFA,Stadiumi Selman Stërmasi,Tirana,"KF Tirana, Dinamo, Partizani",9500,Albania,ALB,2876591,FALSE,FALSE,FALSE,FALSE,3.30252,41.3190024,19.8112655
5,UEFA,Stadiumi Skënderbeu,Korçë,Skënderbeu,7500,Albania,ALB,2876591,FALSE,FALSE,FALSE,FALSE,2.607253,40.6261107,20.7828471
6,UEFA,Alashkert Stadion,Yerevan,Alashkert,6850,Armenia,ARM,2924816,FALSE,FALSE,FALSE,FALSE,2.342028,40.153974,44.4752724
7,UEFA,Banants Stadion,Yerevan,Banants,4860,Armenia,ARM,2924816,FALSE,FALSE,FALSE,FALSE,1.661643,40.1718135,44.45028
8,UEFA,Hrazdan Stadion,Yerevan,"Ararat, Kilikia",54208,Armenia,ARM,2924816,FALSE,FALSE,FALSE,FALSE,18.533815,40.1804448,44.494523
9,UEFA,Republican Stadion,Yerevan,"Pyunik, Uliss",14403,Armenia,ARM,2924816,FALSE,FALSE,FALSE,FALSE,4.924412,40.1719796,44.5256896
10,UEFA,Allianz Stadion,Vienna,Rapid,28345,Austria,AUT,8857960,FALSE,FALSE,FALSE,FALSE,3.199947,48.198023,16.266021
11,UEFA,BSFZ-Arena,Vienna,Admira Wacker,12000,Austria,AUT,8857960,FALSE,FALSE,FALSE,FALSE,1.354714,48.0974796,16.3115642
12,UEFA,Cashpoint-Arena,Altach,SCR,8500,Austria,AUT,8857960,FALSE,FALSE,FALSE,FALSE,0.959589,47.3541468,9.6374474
13,UEFA,Casino-Stadion,Bregenz,Schwarz-Weiß,11112,Austria,AUT,8857960,FALSE,FALSE,FALSE,FALSE,1.254465,47.5038926,9.7334002
14,UEFA,Ernst Happel Stadion,Vienna,Sin Equipo,50865,Austria,AUT,8857960,FALSE,FALSE,TRUE,FALSE,5.742293,48.2072078,16.4209847
15,UEFA,Fill Metallbau Stadion,Ried,SV Ried,7600,Austria,AUT,8857960,FALSE,FALSE,FALSE,FALSE,0.857985,48.2078047,13.4785848
