Year,Stadium,Match,Finalista,Campeon
1993,N/A,Juventus 6-1 Borussia Dortmund,Borussia Dortmund,Juventus
1994,N/A,Internazionale 2-0 Salzburgo,Salzburgo,Internazionale
1995,N/A,Parma 2-1 Juventus,Juventus,Parma
1996,N/A,Bayern Munich 5-1 Bordeaux,Bordeaux,Bayern Munich
1997,N/A,Schalke 04 1-1 Internazionale,Internazionale,Schalke 04
1998,Parc des Princes,Internazionale 3-0 Lazio,Lazio,Internazionale
1999,Luzhniki Stadium,Parma 3-0 Olympique Marseille,Marseille,Parma
2000,Parken,Galatsaray 0-0 Arsenal,Arsenal,Galatsaray
2001,Westfalenstadion,Liverpool 5-4 Alaves,Alaves,Liverpool
2002,De Kuip,Feyenoord 3-2 Borussia Dortmund,Borussia Dortmund,Feyenoord
2003,Estadio La Cartuja,Porto 3-2 Celtic,Celtic,Porto
2004,Nya Ullevi,Valencia 2-0 Olympique Marseille,Marseille,Valencia
2005,Estadio Jose Alvalade,CSKA Moscow 3-1 Sporting Portugal,Sporting Portugal,CSKA Moscow
2006,Philips Stadion,Sevilla 4-0 Middlesbrough,Middlesbrough,Sevilla
2007,Hampden Park,Sevilla 2-2 Espanyol,Espanyol,Sevilla
2008,City of Manchester Stadium,Zenit 2-0 Rangers,Rangers,Zenit
2009,Sukru Saracoglu Stadyumu,Shakhtar Donetsk 2-1 Werder Bremen,Werder Bremen,Shakhtar Donetsk
2010,Hamburg Arena,Atletico Madrid 2-1 Fulham,Fulham,Atletico Madrid
2011,Aviva Stadium,Porto 1-0 Braga,Braga,Porto
2012,Arena Nationala,Athletic Club 3-0 Atletico Madrid,Atletico Madrid,Athletic Club
2013,Amsterdam ArenA,Chelsea 2-1 Benfica,Benfica,Chelsea
2014,Juventus Stadium,Sevilla 0-0 Benfica,Benfica,Sevilla
2015,Stadion Narodowy,Sevilla 3-2 Dnipro,Dnipro,Sevilla
2016,St. Jakob Park,Sevilla 3-1 Liverpool,Liverpool,Sevilla
2017,Friends Arena,Manchester United 2-0 Ajax,Ajax,Manchester United
2018,Parc Olympique Lyonnais,Atletico Madrid 3-0 Olympique Marseille,Marseille,Atletico Madrid
2019,Baku Olympic Stadium,Chelsea 4-1 Arsenal,Arsenal,Chelsea
